Date/Time,Lot,Description,Address,Zip,Latitude,Longitude,Available,Map Point
3/14/18 13:15,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,340,"(34.016806, -118.50275)"
3/14/18 13:20,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,340,"(34.016806, -118.50275)"
3/14/18 13:25,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,337,"(34.016806, -118.50275)"
3/14/18 13:30,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,329,"(34.016806, -118.50275)"
3/14/18 13:35,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,331,"(34.016806, -118.50275)"
3/14/18 13:40,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,325,"(34.016806, -118.50275)"
3/14/18 13:45,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,323,"(34.016806, -118.50275)"
3/14/18 13:50,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,327,"(34.016806, -118.50275)"
3/14/18 13:55,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,326,"(34.016806, -118.50275)"
3/14/18 14:00,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,321,"(34.016806, -118.50275)"
3/14/18 14:05,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,313,"(34.016806, -118.50275)"
3/14/18 14:10,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,309,"(34.016806, -118.50275)"
3/14/18 14:15,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,308,"(34.016806, -118.50275)"
3/14/18 14:20,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,307,"(34.016806, -118.50275)"
3/14/18 14:25,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,303,"(34.016806, -118.50275)"
3/14/18 14:30,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,298,"(34.016806, -118.50275)"
3/14/18 14:35,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,299,"(34.016806, -118.50275)"
3/14/18 14:40,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,297,"(34.016806, -118.50275)"
3/14/18 14:45,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,297,"(34.016806, -118.50275)"
3/14/18 14:50,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,294,"(34.016806, -118.50275)"
3/14/18 14:55,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,296,"(34.016806, -118.50275)"
3/14/18 15:00,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,293,"(34.016806, -118.50275)"
3/14/18 15:05,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,293,"(34.016806, -118.50275)"
3/14/18 15:10,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,292,"(34.016806, -118.50275)"
3/14/18 15:15,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,292,"(34.016806, -118.50275)"
3/14/18 15:20,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,290,"(34.016806, -118.50275)"
3/14/18 15:25,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,294,"(34.016806, -118.50275)"
3/14/18 15:30,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,293,"(34.016806, -118.50275)"
3/14/18 15:35,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,292,"(34.016806, -118.50275)"
3/14/18 15:40,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,295,"(34.016806, -118.50275)"
3/14/18 15:45,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,299,"(34.016806, -118.50275)"
3/14/18 15:50,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,299,"(34.016806, -118.50275)"
3/14/18 15:55,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,293,"(34.016806, -118.50275)"
3/14/18 16:00,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,292,"(34.016806, -118.50275)"
3/14/18 16:05,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,292,"(34.016806, -118.50275)"
3/14/18 16:10,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,288,"(34.016806, -118.50275)"
3/14/18 16:15,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,294,"(34.016806, -118.50275)"
3/14/18 16:20,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,297,"(34.016806, -118.50275)"
3/14/18 16:25,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,301,"(34.016806, -118.50275)"
3/14/18 16:30,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,301,"(34.016806, -118.50275)"
3/14/18 16:35,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,301,"(34.016806, -118.50275)"
3/14/18 16:40,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,301,"(34.016806, -118.50275)"
3/14/18 16:45,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,301,"(34.016806, -118.50275)"
3/14/18 16:50,Lot 3 North,Off of PCH,1150 Pacific Coast Hwy,90401,34.016806,-118.50275,301,"(34.016806, -118.50275)"
